Cognomi,Numero
GIAFFREDA,13
GIANNOCCARO,13
GIUDICE,13
IGNAZZI,13
INGUSCI,13
INVITTO,13
JAT,13
LA GRUA,13
LAGONIGRO,13
LOPALCO,13
MAGARAGGIA,13
MANCINI,13
MANCUSO,13
MARCIANO',13
MARGARITO,13
MARINELLI,13
MATTEO,13
MAZZILLI,13
MERCURI,13
MIGLIUCCI,13
NASSISI,13
NEGLIA,13
NUCCI,13
NUZZACI,13
PACELLA,13
PENZA,13
PISPICO,13
POLI,13
PORCIELLO,13
PUNZI,13
RATTA,13
RIA DE MEIS,13
ROBERTI,13
ROCHIRA,13
RUSSANO,13
SAINI,13
SCALCIONE,13
SCOGNAMILLO,13
SMIRAGLIA,13
SPINA,13
STANO,13
TAMBURRELLA,13
TANZARELLA,13
TARDIO,13
TRAZZA,13
TRISIELLO,13
VALLONE,13
VINCI,13
VISSICCHIO,13
VIVENZIO,13
ZACHEO,13
ZAPPATORE,13
ZEZZA,13
ZULLINO,13
ACAMPORA,12
ALIMOVIC,12
ALTAVILLA,12
ANNESI,12
ANNICCHIARICO,12
ANZILLI,12
ARENA,12
BELLISARIO,12
BELLONE,12
BELMONTE,12
CALSOLARO,12
CANIGLIA,12
CAPODICASA,12
CAZZETTA,12
COLOPI,12
CRUSI,12
D'AMURI,12
D'ANDRIA,12
D'ANGELO,12
D'AVERSA,12
DELLA TOMMASA,12
DELL'ERBA,12
D'ETTORRE,12
DI SANSEBASTIANO,12
DIENG,12
FERULLO,12
FIORILLO,12
GADIAGA,12
GELSUMINO,12
GENNARO,12
GIANNUZZO,12
GIAUSA,12
GIGLIO,12
GIOVANNICO,12
GUARINI,12
GUERCIA,12
IOVINO,12
IVAGNES,12
LAMOSA,12
LEGNO,12
LIGORI,12
LOTTI,12
LOZUPONE,12
MALCANGI,12
MARACA,12
MARGARI,12
MARGILIO,12
MARQUEZ,12
MICOCCI,12
MILANO,12
MILINANNI,12
MINISGALLO,12
MY,12
NDOYE,12
NOTARANGELO,12
OCCHINERO,12
OLIMPIO,12
ORLANDUCCIO,12
PACE,12
PALESTRO,12
PICONTE,12
PIO,12
POLITO,12
PORCARI,12
PRIFTI,12
RAGUSA,12
ROCCO,12
RUSSI,12
SANGIOVANNI,12
SARTORI,12
SCARCIA,12
SCARDIGNO,12
SCHIAVANO,12
SCIUSCIO,12
SERRANI,12
SPAGNA,12
SPECCHIA,12
SPINELLI,12
SPONZIELLO,12
STRIANO,12
TAURISANO,12
TORRE,12
TORRICELLI,12
VERDERAMO,12
VERECONDO,12
VERIFICA,12
VILEI,12
VIZZI,12
VIZZINO,12
VOLI,12
WANG,12
WU,12
ZAMPARELLI,12
ABBAS,11
AGAGIU',11
ALBERANI,11
ALFONSO,11
ANDRETTA,11
ANGUILLA,11
ASCALONE,11
ASTORE,11
BALESTRIERI,11
BALSAMO,11
BARLETTI,11
BENINCASA,11
BHATI,11
BIFFERO,11
BOLOGNINI,11
BORRELLI,11
BOTTAZZO,11
BRIO,11
BUFFO,11
CAGLIULI,11
CANTOBELLI,11
CASALUCI,11
CIARNO',11
CISSE,11
CLEOPAZZO,11
COLETTA,11
CORCHIA,11
COSTANZO,11
CULIERSI,11
DAMIANO,11
DANISI,11
DE LEVERANO,11
DE MAURO,11
DE MOLA,11
DE TOMMASO,11
DEI LAZZARETTI,11
DELLA FOLGORE,11
DELLA TORRE,11
D'ONOFRIO,11
DUMITRU,11
ELMO,11
FALSANISI,11
FIORITO,11
FRISONE,11
FRISULLO,11
GADALETA,11
GALANTE,11
GIOCONDO,11
GRAZIANI,11
IMBO',11
INFANTINI,11
LEGA,11
LERA,11
LIA,11
LOFARI,11
LUCENTE,11
MAESTOSO,11
MAFFIA,11
MAISTO,11
MALIZIA,11
MANNINO,11
MARTINI,11
MARTONUCCI,11
MAURILIO,11
MENGHINI,11
MERCURIO,11
MIGALI,11
MIRAGLIA,11
MONTI,11
MUCA,11
MUSARDO,11
NIANG,11
